,cell_type
ekekjnnd-1,CD8+ T cells
ekekmbjf-1,CD8+ T cells
ekeknkeh-1,CD4+ T cells
ekekpaeh-1,CD8+ T cells
ekelaedf-1,Epithelial
ekelbcoi-1,CD8+ T cells
ekelfchj-1,CD8+ T cells
ekelgigo-1,CD8+ T cells
ekelhbhj-1,CD8+ T cells
ekeljfnc-1,CD8+ T cells
ekelpmjb-1,CD8+ T cells
ekemandb-1,CD8+ T cells
ekemdebn-1,CD4+ T cells
ekemdkih-1,Unknown
ekemheng-1,CD8+ T cells
ekemjlmi-1,CD4+ T cells
ekemkdno-1,CD8+ T cells
ekemkebf-1,CD8+ T cells
ekemmjbk-1,Epithelial
ekemonhm-1,CD8+ T cells
ekempfhg-1,CD4+ T cells
ekendhah-1,CD8+ T cells
ekenenog-1,CD8+ T cells
ekenhppb-1,CD8+ T cells
ekeniedl-1,CD8+ T cells
ekenolde-1,CD8+ T cells
ekenphnh-1,CD8+ T cells
ekeofabi-1,CD8+ T cells
ekeofgnc-1,CD8+ T cells
ekeofkhe-1,CD8+ T cells
ekeogmim-1,CD8+ T cells
ekeongbp-1,CD8+ T cells
ekepblpn-1,CD8+ T cells
ekepeigm-1,CD8+ T cells
ekepekdm-1,Macrophages
ekepffia-1,CD4+ T cells
ekephhci-1,Macrophages
ekepjimg-1,CD8+ T cells
ekepjlpf-1,CD8+ T cells
ekepknof-1,CD8+ T cells
ekeplmdm-1,Unknown
ekepnklh-1,CD8+ T cells
ekfaaejg-1,CD8+ T cells
ekfabjpl-1,CD8+ T cells
ekfadmcf-1,CD8+ T cells
ekfafbdk-1,CD8+ T cells
ekfaipec-1,Macrophages
ekfamfcg-1,CD8+ T cells
ekfapmhf-1,Macrophages
ekfbdceo-1,Macrophages
ekfbdjll-1,CD8+ T cells
ekfbdlgm-1,CD8+ T cells
ekfbdnke-1,CD8+ T cells
ekfbhdej-1,CD8+ T cells
ekfbhfek-1,CD8+ T cells
ekfbjgek-1,CD8+ T cells
ekfblfch-1,CD8+ T cells
ekfbokmj-1,CD8+ T cells
ekfccdhp-1,Fibroblasts
ekfcdihc-1,Unknown
ekfcjcei-1,CD8+ T cells
ekfcnilh-1,CD8+ T cells
ekfcphdf-1,CD8+ T cells
ekfdajck-1,Macrophages
ekfddmej-1,Unknown
ekfdgiie-1,Macrophages
ekfdhmap-1,Epithelial
ekfdncgm-1,CD8+ T cells
ekfdpcfg-1,CD8+ T cells
ekfdpofm-1,CD8+ T cells
ekfecmid-1,CD8+ T cells
ekfeekkc-1,CD8+ T cells
ekfeemkk-1,CD8+ T cells
ekfehhmb-1,CD8+ T cells
ekfelamo-1,CD8+ T cells
ekfelhjc-1,CD8+ T cells
ekfembdk-1,CD8+ T cells
ekfemhnj-1,Unknown
ekfemnfm-1,CD8+ T cells
ekffacjp-1,CD8+ T cells
ekffbkbi-1,CD8+ T cells
ekffdaho-1,CD8+ T cells
ekffegac-1,CD8+ T cells
ekffhife-1,Fibroblasts
ekffjhok-1,CD8+ T cells
ekffkdfa-1,CD8+ T cells
ekffpdfk-1,CD8+ T cells
ekffpinm-1,CD8+ T cells
ekfgfefm-1,CD8+ T cells
ekfgknbj-1,CD8+ T cells
ekfhbbek-1,CD8+ T cells
ekfhdhng-1,CD8+ T cells
ekfhefga-1,CD8+ T cells
ekfhinic-1,CD8+ T cells
ekfhnhbl-1,CD8+ T cells
ekfhobpg-1,CD8+ T cells
ekfhoofg-1,CD8+ T cells
ekfhpkdl-1,CD8+ T cells
ekfiaccb-1,CD8+ T cells
ekficaje-1,CD8+ T cells
ekfifehl-1,CD8+ T cells
ekfigcep-1,CD8+ T cells
ekfigicj-1,CD8+ T cells
ekfiifgc-1,CD8+ T cells
ekfimoed-1,CD8+ T cells
ekfiofca-1,CD8+ T cells
ekfiojcd-1,CD8+ T cells
ekfiploa-1,CD8+ T cells
ekfjchdf-1,Macrophages
ekfjiemd-1,CD8+ T cells
ekfjipfo-1,Unknown
ekfjmocl-1,Unknown
ekfjnmne-1,CD8+ T cells
ekfjnomh-1,CD8+ T cells
ekfkbobd-1,CD4+ T cells
ekfkefcg-1,Macrophages
ekfkelnc-1,CD8+ T cells
ekfkijjb-1,CD8+ T cells
ekfkojip-1,Epithelial
ekflcfdo-1,CD8+ T cells
ekfldeic-1,CD8+ T cells
ekflffnl-1,CD8+ T cells
ekflfjfb-1,Macrophages
ekflgenk-1,CD8+ T cells
ekflhibe-1,Macrophages
ekflmhni-1,CD8+ T cells
ekflohal-1,CD8+ T cells
ekfmaegc-1,Epithelial
ekfmahig-1,CD8+ T cells
ekfmbijn-1,CD8+ T cells
ekfmchfp-1,CD8+ T cells
ekfmedap-1,CD8+ T cells
ekfmekki-1,CD8+ T cells
ekfmghfi-1,Endothelial
ekfmhfbh-1,Macrophages
ekfmmmfi-1,Macrophages
ekfmnjjj-1,CD8+ T cells
ekfmoeko-1,CD8+ T cells
ekfmpfao-1,CD8+ T cells
ekfmpnej-1,CD8+ T cells
ekfnbaoj-1,CD8+ T cells
ekfnifbk-1,Macrophages
ekfnjfej-1,CD8+ T cells
ekfnjmfn-1,CD8+ T cells
ekfnpkjp-1,CD8+ T cells
ekfocbea-1,CD8+ T cells
ekfohgfc-1,Macrophages
ekfoibpj-1,Macrophages
ekfoielp-1,CD8+ T cells
ekfoopkh-1,Macrophages
ekfpbdha-1,CD8+ T cells
ekfpdfgh-1,Macrophages
ekfpedka-1,CD8+ T cells
ekfpknno-1,CD8+ T cells
ekfpkopp-1,Macrophages
ekfplocn-1,Macrophages
ekfpmebo-1,CD8+ T cells
ekfpohaa-1,CD8+ T cells
ekgaeggf-1,Macrophages
ekgaengn-1,CD8+ T cells
ekgagogk-1,Macrophages
ekgainmf-1,CD8+ T cells
ekgangkd-1,Macrophages
ekgbafdf-1,CD8+ T cells
ekgbcjmo-1,CD8+ T cells
ekgbhkkp-1,Macrophages
ekgbingc-1,CD8+ T cells
ekgbjkig-1,Macrophages
ekgbjofk-1,CD8+ T cells
ekgblele-1,CD8+ T cells
ekgboefe-1,CD8+ T cells
ekgbpfhi-1,CD8+ T cells
ekgcdhcf-1,Macrophages
ekgceeed-1,CD8+ T cells
ekgcfjac-1,Macrophages
ekgcgegl-1,Unknown
ekgchfgo-1,CD4+ T cells
ekgcpohn-1,CD8+ T cells
ekgddojk-1,Macrophages
ekgdecaa-1,CD8+ T cells
ekgdgokf-1,CD8+ T cells
ekgdillk-1,Macrophages
ekgdjpnd-1,CD8+ T cells
ekgdkloa-1,CD8+ T cells
ekgdlncd-1,CD8+ T cells
ekgdmgnl-1,Epithelial
ekgdmill-1,Macrophages
ekgdonge-1,CD8+ T cells
ekgdpelh-1,CD8+ T cells
ekgeabam-1,CD4+ T cells
ekgebdfi-1,CD8+ T cells
ekgebhnf-1,CD8+ T cells
ekgedjha-1,CD8+ T cells
ekgeefam-1,CD8+ T cells
ekgehcid-1,CD8+ T cells
ekgejkpl-1,CD8+ T cells
ekgekcfm-1,CD8+ T cells
ekgelncg-1,CD8+ T cells
ekgeogmi-1,CD8+ T cells
ekgfcbcd-1,Macrophages
ekgfionn-1,CD8+ T cells
ekgfjlfc-1,CD8+ T cells
ekgfmckl-1,CD8+ T cells
ekggbbmh-1,CD8+ T cells
ekggdnpl-1,CD8+ T cells
ekggfhbj-1,CD8+ T cells
ekghdgac-1,CD8+ T cells
ekghecok-1,CD8+ T cells
ekghfipl-1,CD8+ T cells
ekghfmle-1,CD8+ T cells
ekghjelh-1,CD8+ T cells
ekghjmpa-1,CD8+ T cells
ekghkfde-1,CD8+ T cells
ekghklhg-1,CD8+ T cells
ekghmied-1,Macrophages
ekghmodb-1,CD8+ T cells
ekghnokl-1,CD8+ T cells
ekghpcpj-1,CD8+ T cells
ekgifcok-1,CD8+ T cells
ekgigdcm-1,CD8+ T cells
ekgijaed-1,CD8+ T cells
ekgiphok-1,CD8+ T cells
ekgjbmkd-1,Macrophages
ekgjednh-1,CD8+ T cells
ekgjfihk-1,CD8+ T cells
ekgjflpm-1,CD8+ T cells
ekgjjgef-1,CD8+ T cells
ekgjjhgn-1,CD8+ T cells
ekgjjmdh-1,Unknown
ekgjnfbk-1,CD8+ T cells
ekgjpbdi-1,Macrophages
ekgkdopj-1,CD8+ T cells
ekgkjkkh-1,Macrophages
ekgkjljc-1,CD8+ T cells
ekgkkpgm-1,CD8+ T cells
ekgknjek-1,CD8+ T cells
ekgkokdi-1,CD8+ T cells
ekglbldd-1,CD8+ T cells
ekglcjjg-1,CD8+ T cells
ekglgngp-1,CD8+ T cells
ekglhcja-1,Endothelial
ekglheho-1,CD8+ T cells
ekglhgmd-1,CD8+ T cells
ekglkhpn-1,CD8+ T cells
ekglldhc-1,CD8+ T cells
ekglmapc-1,CD8+ T cells
ekgmbmda-1,CD8+ T cells
ekgmeife-1,Macrophages
ekgmepen-1,Fibroblasts
ekgmfhmf-1,CD8+ T cells
ekgmhdkc-1,Macrophages
ekgncfdi-1,CD8+ T cells
ekgncipa-1,Macrophages
ekgnfiep-1,Unknown
ekgngaam-1,CD8+ T cells
ekgnhgcp-1,CD8+ T cells
ekgnjekd-1,CD8+ T cells
ekgnjmma-1,CD8+ T cells
ekgoeflp-1,CD8+ T cells
ekgofmdj-1,CD8+ T cells
ekgoggko-1,CD8+ T cells
ekgoiago-1,Macrophages
ekgoicaj-1,CD8+ T cells
ekgoogbe-1,CD8+ T cells
ekgoogjo-1,CD4+ T cells
ekgopgik-1,CD8+ T cells
ekgpbini-1,CD8+ T cells
ekgpdlhm-1,CD8+ T cells
ekgpefdo-1,CD8+ T cells
ekgpemgk-1,CD8+ T cells
ekgphcka-1,CD8+ T cells
ekgpidfo-1,CD8+ T cells
ekgpifhp-1,CD8+ T cells
ekgppjfb-1,CD8+ T cells
ekhabljl-1,CD8+ T cells
ekhafmim-1,CD8+ T cells
ekhagkdj-1,CD8+ T cells
ekhahnia-1,B cells
ekhajebe-1,Macrophages
ekhajkgp-1,B cells
ekhbaacf-1,Macrophages
ekhbcimh-1,CD4+ T cells
ekhbcllh-1,Unknown
ekhbfhbi-1,CD8+ T cells
ekhbfiok-1,CD8+ T cells
ekhbhflc-1,CD8+ T cells
ekhbhnkn-1,CD8+ T cells
ekhbkgdg-1,CD8+ T cells
ekhbmjbb-1,CD4+ T cells
ekhbmnih-1,Epithelial
ekhbnijl-1,CD8+ T cells
ekhcbpnn-1,Unknown
ekhccbld-1,CD8+ T cells
ekhccofe-1,Macrophages
ekhceicd-1,CD8+ T cells
ekhcggif-1,CD4+ T cells
ekhcgkbd-1,CD4+ T cells
ekhcicbg-1,CD8+ T cells
ekhcijij-1,CD8+ T cells
ekhcjnjj-1,CD4+ T cells
ekhcmdbo-1,CD8+ T cells
ekhdcffb-1,Macrophages
ekhddaif-1,CD4+ T cells
ekhddfkb-1,CD8+ T cells
ekhddlcm-1,CD4+ T cells
ekhdgcgl-1,CD8+ T cells
ekhdgenk-1,CD8+ T cells
ekhdlmnb-1,CD4+ T cells
ekhdobel-1,Macrophages
ekheagil-1,CD8+ T cells
ekhedkff-1,CD8+ T cells
ekhefcdg-1,Macrophages
ekhehehk-1,CD8+ T cells
ekheifld-1,Fibroblasts
ekhekbpd-1,Macrophages
ekhekhpd-1,CD8+ T cells
ekhekplp-1,CD8+ T cells
ekheljad-1,Epithelial
ekhempkg-1,CD8+ T cells
ekheofjo-1,CD8+ T cells
ekhfchem-1,CD8+ T cells
ekhfeelk-1,CD8+ T cells
ekhficdj-1,CD8+ T cells
ekhfjoac-1,CD8+ T cells
ekhflche-1,Macrophages
ekhfmpkj-1,CD8+ T cells
ekhfokgk-1,CD8+ T cells
ekhgglkc-1,CD8+ T cells
ekhhbbgn-1,Macrophages
ekhhbmbp-1,CD8+ T cells
ekhhcami-1,CD8+ T cells
ekhhcflf-1,CD8+ T cells
ekhhgajg-1,Epithelial
ekhhhbgb-1,CD8+ T cells
ekhhimhn-1,CD8+ T cells
ekhhkfmh-1,CD8+ T cells
ekhhkijp-1,CD8+ T cells
ekhhlfpd-1,CD8+ T cells
ekhhlhcg-1,CD8+ T cells
ekhibgcp-1,CD8+ T cells
ekhiefoo-1,CD8+ T cells
ekhiigbd-1,CD8+ T cells
ekhiiggo-1,CD8+ T cells
ekhikgaj-1,CD8+ T cells
ekhingic-1,CD8+ T cells
ekhinlfd-1,CD8+ T cells
ekhinmim-1,B cells
ekhinnlf-1,Macrophages
ekhionjh-1,CD8+ T cells
ekhipbie-1,CD8+ T cells
ekhjafpl-1,CD8+ T cells
ekhjlkmh-1,CD8+ T cells
ekhjmane-1,Macrophages
ekhjmmhb-1,CD8+ T cells
ekhkeieh-1,CD8+ T cells
ekhkfhkb-1,Macrophages
ekhknnka-1,CD8+ T cells
ekhknpof-1,CD8+ T cells
ekhkobkc-1,CD4+ T cells
ekhkoecb-1,CD8+ T cells
ekhlcfnj-1,Epithelial
ekhlcgcd-1,CD8+ T cells
ekhlgndj-1,CD8+ T cells
ekhlhnpg-1,CD8+ T cells
ekhljclp-1,Macrophages
ekhljeha-1,CD8+ T cells
ekhllodi-1,CD8+ T cells
ekhlmege-1,CD8+ T cells
ekhlmgdj-1,CD8+ T cells
ekhmabin-1,CD8+ T cells
ekhmdoak-1,CD8+ T cells
ekhmgcko-1,CD8+ T cells
ekhmghcg-1,CD8+ T cells
ekhmiopm-1,CD8+ T cells
ekhmkcip-1,CD4+ T cells
ekhmmmoi-1,CD4+ T cells
ekhmpbim-1,CD4+ T cells
ekhmpoob-1,CD8+ T cells
ekhnapbd-1,CD8+ T cells
ekhnblnf-1,CD8+ T cells
ekhnfhmm-1,CD8+ T cells
ekhnfnak-1,Macrophages
ekhnfogc-1,CD8+ T cells
ekhnggnm-1,CD8+ T cells
ekhngifb-1,Epithelial
ekhnhknl-1,CD8+ T cells
ekhnhojd-1,CD8+ T cells
ekhnlamb-1,Macrophages
ekhnlknc-1,CD8+ T cells
ekhoaoid-1,CD4+ T cells
ekhockej-1,CD8+ T cells
ekhodlik-1,CD8+ T cells
ekhofakk-1,Epithelial
ekhohnhk-1,CD8+ T cells
ekhojipo-1,CD8+ T cells
ekhokckh-1,Macrophages
ekholplg-1,CD8+ T cells
ekhomnle-1,CD8+ T cells
ekhpbofa-1,CD8+ T cells
ekhpceco-1,CD8+ T cells
ekhpckbf-1,CD8+ T cells
ekhpfgdg-1,CD8+ T cells
ekhpmocc-1,CD8+ T cells
ekiaeihe-1,CD8+ T cells
ekiaenap-1,Macrophages
ekiafmho-1,CD8+ T cells
ekiahgbl-1,CD8+ T cells
ekiajpgk-1,CD8+ T cells
ekialebg-1,CD8+ T cells
ekianeep-1,CD8+ T cells
ekianinf-1,CD8+ T cells
ekibbapl-1,CD4+ T cells
ekibcgod-1,CD8+ T cells
ekibijkh-1,CD8+ T cells
ekicbgbn-1,Unknown
ekiccifa-1,CD8+ T cells
ekicence-1,CD8+ T cells
ekicifhf-1,CD8+ T cells
ekickkog-1,CD8+ T cells
ekicnhgm-1,CD8+ T cells
ekidbhnn-1,CD8+ T cells
ekidbjad-1,CD8+ T cells
ekidhhpd-1,CD8+ T cells
ekidohgd-1,CD8+ T cells
ekieadbm-1,CD8+ T cells
ekieehal-1,CD8+ T cells
ekiekjba-1,CD8+ T cells
ekieliff-1,Unknown
ekienibm-1,CD8+ T cells
ekieofhh-1,Unknown
ekifajah-1,Unknown
ekifajfd-1,CD8+ T cells
ekifalbl-1,Unknown
ekifbjop-1,CD8+ T cells
ekifcijf-1,CD8+ T cells
ekifddli-1,Macrophages
ekifdekj-1,Macrophages
ekifdjgf-1,Unknown
ekifdlph-1,CD8+ T cells
ekifhcok-1,CD8+ T cells
ekifhgff-1,CD4+ T cells
ekifkcmj-1,CD4+ T cells
ekifpghm-1,CD8+ T cells
ekigbgfp-1,Epithelial
ekigccon-1,CD8+ T cells
ekigdbnn-1,CD8+ T cells
ekigdeeh-1,CD8+ T cells
ekigedeo-1,CD8+ T cells
ekiggdjl-1,CD8+ T cells
ekigigmk-1,Macrophages
ekigjjbn-1,Epithelial
ekigmlcg-1,CD8+ T cells
ekigpdof-1,CD4+ T cells
ekihcjfm-1,Fibroblasts
ekihdlel-1,CD8+ T cells
ekihmmec-1,CD8+ T cells
ekihoelf-1,CD8+ T cells
ekiiaaai-1,CD8+ T cells
ekiiecac-1,CD8+ T cells
ekiieood-1,CD8+ T cells
ekiigefo-1,CD8+ T cells
ekiijmmo-1,CD8+ T cells
ekiinbop-1,CD4+ T cells
ekiinnhm-1,CD8+ T cells
ekiiohbc-1,CD8+ T cells
ekiiolme-1,CD8+ T cells
ekijafap-1,CD8+ T cells
ekijagii-1,CD8+ T cells
ekijanik-1,Macrophages
ekijbano-1,CD4+ T cells
ekijcglj-1,CD8+ T cells
ekijfcca-1,CD8+ T cells
ekijgifc-1,CD8+ T cells
ekijiebc-1,CD8+ T cells
ekijkcgj-1,CD8+ T cells
ekijpfjj-1,CD8+ T cells
ekikaljl-1,CD8+ T cells
ekikbang-1,CD8+ T cells
ekikbhke-1,CD8+ T cells
ekikekon-1,CD8+ T cells
ekikeohi-1,CD8+ T cells
ekikjfjh-1,CD8+ T cells
ekikmjpd-1,CD8+ T cells
ekikpkkb-1,CD4+ T cells
ekileblm-1,Epithelial
ekilelll-1,CD8+ T cells
ekilgmin-1,CD8+ T cells
ekilifll-1,CD8+ T cells
ekililaj-1,Macrophages
ekilnflh-1,CD8+ T cells
ekilolpc-1,CD8+ T cells
ekimcpkk-1,CD8+ T cells
ekimejgg-1,Macrophages
ekimgbma-1,CD8+ T cells
ekimjckp-1,CD8+ T cells
ekimlfef-1,Epithelial
ekimnahh-1,Unknown
ekimnejh-1,CD8+ T cells
ekimonei-1,CD8+ T cells
ekimpbmm-1,CD8+ T cells
ekimpjcp-1,CD8+ T cells
ekinahff-1,CD8+ T cells
ekinaolc-1,Macrophages
ekincjpl-1,CD8+ T cells
ekinhecd-1,CD8+ T cells
ekinlpfm-1,CD8+ T cells
ekinoaik-1,CD8+ T cells
ekinpdnb-1,CD8+ T cells
ekioacaf-1,CD8+ T cells
ekioahel-1,CD8+ T cells
ekiobmge-1,CD8+ T cells
ekiodkpd-1,CD8+ T cells
ekiohama-1,Epithelial
ekiokhge-1,CD8+ T cells
ekiokmpo-1,CD8+ T cells
ekiolpog-1,CD8+ T cells
ekiomjaj-1,CD8+ T cells
ekiopbod-1,CD8+ T cells
ekiopcfd-1,CD8+ T cells
ekipaacg-1,CD8+ T cells
ekipclhc-1,CD8+ T cells
ekipeemf-1,CD8+ T cells
ekiphnjo-1,CD8+ T cells
ekipiadp-1,CD8+ T cells
ekipihpi-1,CD8+ T cells
ekipmgcn-1,CD8+ T cells
ekipmjjl-1,CD8+ T cells
ekipmnlf-1,CD8+ T cells
ekipnfop-1,CD8+ T cells
ekipnmai-1,CD8+ T cells
ekjagofi-1,CD8+ T cells
ekjaheje-1,CD8+ T cells
ekjakjpc-1,CD8+ T cells
ekjaoiem-1,CD8+ T cells
ekjbahnk-1,CD8+ T cells
ekjbddni-1,CD8+ T cells
ekjbgkle-1,CD4+ T cells
ekjbjgho-1,CD8+ T cells
ekjbkbkl-1,CD8+ T cells
ekjblcpd-1,CD8+ T cells
ekjbpafn-1,CD8+ T cells
ekjcbmhm-1,CD8+ T cells
ekjciglc-1,Macrophages
ekjcmdbe-1,CD8+ T cells
ekjcnfkd-1,CD8+ T cells
ekjddljc-1,CD8+ T cells
ekjddnbp-1,Macrophages
ekjdehnd-1,Macrophages
ekjdgldl-1,Epithelial
ekjdgmid-1,CD4+ T cells
ekjdijlo-1,CD8+ T cells
ekjdmnob-1,CD8+ T cells
ekjdnbai-1,CD8+ T cells
ekjdojki-1,CD8+ T cells
ekjeapfe-1,CD4+ T cells
ekjebefi-1,Macrophages
ekjeckho-1,CD8+ T cells
ekjedpjp-1,Epithelial
ekjeejlo-1,CD8+ T cells
ekjeenal-1,Macrophages
ekjefphi-1,CD8+ T cells
ekjehfei-1,Epithelial
ekjehfjh-1,CD8+ T cells
ekjekbgb-1,Macrophages
ekjekekk-1,CD8+ T cells
ekjelhdl-1,Unknown
ekjemafd-1,Endothelial
ekjfbfjn-1,CD8+ T cells
ekjfbpfc-1,CD8+ T cells
ekjfcafa-1,CD8+ T cells
ekjfcmoo-1,Unknown
ekjfddej-1,CD8+ T cells
ekjfdldm-1,Epithelial
ekjffopk-1,CD8+ T cells
ekjfpkdb-1,Unknown
ekjgehoo-1,Macrophages
ekjghllp-1,CD8+ T cells
ekjhfhhj-1,Macrophages
ekjhjmcn-1,CD8+ T cells
ekjhjnmd-1,CD4+ T cells
ekjhobcm-1,CD4+ T cells
ekjhogpk-1,CD4+ T cells
ekjhpmmg-1,CD8+ T cells
ekjidafj-1,CD8+ T cells
ekjidikl-1,CD8+ T cells
ekjiebmn-1,CD8+ T cells
ekjifcbn-1,CD8+ T cells
ekjifkmb-1,CD8+ T cells
ekjikaai-1,Unknown
ekjilikd-1,CD8+ T cells
ekjilnml-1,CD8+ T cells
ekjimcha-1,CD8+ T cells
ekjiojjb-1,CD8+ T cells
ekjjcjcn-1,CD8+ T cells
ekjjdkfc-1,CD8+ T cells
ekjjefjc-1,Macrophages
ekjjfjdp-1,Epithelial
ekjjhdhf-1,CD8+ T cells
ekjjhole-1,Macrophages
ekjjipke-1,CD8+ T cells
ekjjklpi-1,Macrophages
ekjjlpcf-1,CD8+ T cells
ekjjnajb-1,CD8+ T cells
ekjjnpbk-1,CD8+ T cells
ekjjoiha-1,CD8+ T cells
ekjkagmm-1,CD4+ T cells
ekjkahkd-1,CD4+ T cells
ekjkbnfi-1,CD8+ T cells
ekjkdjlk-1,CD8+ T cells
ekjkgnhc-1,CD8+ T cells
ekjknajd-1,CD8+ T cells
ekjkpbmm-1,CD8+ T cells
ekjlabmm-1,CD4+ T cells
ekjlakpb-1,Epithelial
ekjldjkh-1,CD8+ T cells
ekjlhggj-1,CD8+ T cells
ekjlpcna-1,CD8+ T cells
ekjmablh-1,CD4+ T cells
ekjmcojk-1,CD4+ T cells
ekjmgkko-1,Epithelial
ekjmiegi-1,CD8+ T cells
ekjmipbh-1,CD8+ T cells
ekjmjlkn-1,CD4+ T cells
ekjmladi-1,Unknown
ekjmlmpl-1,Epithelial
ekjnbgln-1,CD8+ T cells
ekjncpec-1,CD8+ T cells
ekjnfcjm-1,CD4+ T cells
ekjnfgac-1,CD8+ T cells
ekjnibnn-1,Macrophages
ekjnikae-1,CD8+ T cells
ekjnkpeo-1,CD8+ T cells
ekjnnecg-1,Macrophages
ekjnngbc-1,CD8+ T cells
ekjoacgl-1,Macrophages
ekjoblim-1,CD8+ T cells
ekjodhdl-1,CD8+ T cells
ekjogegi-1,CD4+ T cells
ekjogeom-1,Macrophages
ekjohkpe-1,Macrophages
ekjoicof-1,CD8+ T cells
ekjoigmp-1,Macrophages
ekjoiodi-1,CD8+ T cells
ekjooloa-1,CD8+ T cells
ekjpafmo-1,CD8+ T cells
ekjpbjbd-1,CD8+ T cells
ekjpcbkn-1,CD4+ T cells
ekjpembd-1,Epithelial
ekjpgjlb-1,CD4+ T cells
ekjpjdmo-1,CD8+ T cells
ekjplgai-1,Unknown
ekjpnbgj-1,CD8+ T cells
ekjpomhn-1,CD8+ T cells
ekjppcpb-1,CD4+ T cells
ekjpphaf-1,CD4+ T cells
ekkacaan-1,CD4+ T cells
ekkacphl-1,Epithelial
ekkadkge-1,CD8+ T cells
ekkaijni-1,Macrophages
ekkajcmo-1,Epithelial
ekkamdgd-1,Fibroblasts
ekkaokhl-1,CD8+ T cells
ekkbfklk-1,CD8+ T cells
ekkbiban-1,CD8+ T cells
ekkcebjn-1,CD8+ T cells
ekkcfppm-1,CD8+ T cells
ekkcjmdo-1,Fibroblasts
ekkckbkd-1,CD8+ T cells
ekkclagj-1,Fibroblasts
ekkdanok-1,CD8+ T cells
ekkdbdmm-1,CD8+ T cells
ekkdbjfp-1,CD4+ T cells
ekkdekai-1,CD8+ T cells
ekkdgbah-1,Macrophages
ekkdgong-1,CD8+ T cells
ekkdkdic-1,CD8+ T cells
ekkdlcno-1,CD8+ T cells
ekkdmbnb-1,CD4+ T cells
ekkdnjhg-1,Macrophages
ekkdpipk-1,Fibroblasts
ekkecmcd-1,Macrophages
ekkeeana-1,Macrophages
ekkeobij-1,CD8+ T cells
ekkeocle-1,CD4+ T cells
ekkfamfh-1,Macrophages
ekkfdooh-1,Fibroblasts
ekkffgal-1,CD4+ T cells
ekkffgob-1,CD8+ T cells
ekkflmij-1,Unknown
ekkfoffh-1,Macrophages
ekkgbaln-1,CD8+ T cells
ekkgbdko-1,CD8+ T cells
ekkgchbl-1,CD8+ T cells
ekkgcnfn-1,CD8+ T cells
ekkgdaac-1,CD4+ T cells
ekkgdban-1,CD8+ T cells
ekkgjdbf-1,CD8+ T cells
ekkgkkil-1,CD8+ T cells
ekkgkmnh-1,CD8+ T cells
ekkgpjid-1,Unknown
ekkgpnig-1,Macrophages
ekkhelda-1,CD8+ T cells
ekkhjemd-1,CD8+ T cells
ekkhlfcf-1,CD8+ T cells
ekkhnpda-1,CD8+ T cells
ekkhoaej-1,CD8+ T cells
ekkicmhg-1,CD8+ T cells
ekkiecbf-1,CD8+ T cells
ekkiehgg-1,Macrophages
ekkieonf-1,Macrophages
ekkijifk-1,Macrophages
ekkijjjl-1,CD8+ T cells
ekkilceo-1,CD8+ T cells
ekkinioc-1,Macrophages
ekkipeme-1,Macrophages
ekkjdkli-1,Macrophages
ekkjeleo-1,Fibroblasts
ekkjghnc-1,Macrophages
ekkjieon-1,CD8+ T cells
ekkjlehm-1,CD8+ T cells
ekkjnkhl-1,Epithelial
ekkjpdgm-1,Epithelial
ekkjppbo-1,Macrophages
ekkkabma-1,CD4+ T cells
ekkkafnp-1,CD4+ T cells
ekkkbfda-1,CD8+ T cells
ekkkcefn-1,CD8+ T cells
ekkkdjhh-1,Fibroblasts
ekkkedlh-1,CD8+ T cells
ekkkgnag-1,Macrophages
ekkkgoon-1,CD8+ T cells
ekkkjonf-1,CD8+ T cells
ekkldegn-1,CD8+ T cells
ekkldgic-1,CD8+ T cells
ekkldnhd-1,CD8+ T cells
ekkleefb-1,CD8+ T cells
ekklegli-1,CD8+ T cells
ekklghno-1,CD8+ T cells
ekklifkh-1,CD8+ T cells
ekklincc-1,Macrophages
ekklljim-1,CD8+ T cells
ekklnijn-1,CD8+ T cells
ekkmajak-1,CD8+ T cells
ekkmdche-1,Epithelial
ekkmdlhp-1,CD8+ T cells
ekkmdnal-1,Macrophages
ekkmefik-1,CD8+ T cells
ekkmgmln-1,Epithelial
ekkmheim-1,CD8+ T cells
ekkmikmp-1,CD8+ T cells
ekkndabh-1,CD8+ T cells
ekknkgld-1,CD8+ T cells
ekknkidg-1,CD8+ T cells
ekknmjkl-1,CD8+ T cells
ekkocbjl-1,Unknown
ekkogdcm-1,CD8+ T cells
ekkohkch-1,CD8+ T cells
ekkohmeh-1,CD8+ T cells
ekkokpcg-1,CD8+ T cells
ekkoloil-1,Macrophages
ekkongan-1,Unknown
ekkpekpj-1,CD8+ T cells
ekkpemad-1,CD8+ T cells
ekkphhfm-1,Fibroblasts
ekkpnnna-1,CD8+ T cells
ekkppome-1,CD8+ T cells
eklabckg-1,CD8+ T cells
eklabjco-1,CD8+ T cells
eklafebf-1,CD8+ T cells
eklafikh-1,B cells
eklaggcc-1,CD8+ T cells
eklanopd-1,CD8+ T cells
eklbcjda-1,Fibroblasts
eklbemmd-1,CD8+ T cells
eklbgljg-1,CD8+ T cells
eklbkhca-1,CD8+ T cells
eklblmcn-1,CD4+ T cells
eklbmedl-1,CD8+ T cells
eklbpjma-1,CD8+ T cells
eklcbbjg-1,CD8+ T cells
eklcckmo-1,CD8+ T cells
